ethnic_group,sex,ratio,lower,upper,adjust
Bangladeshi,Male,5.03,4.51,5.60,age
Black African,Male,2.42,2.15,2.73,age
Black Caribbean,Male,1.96,1.79,2.14,age
Chinese,Male,1.07,0.87,1.32,age
Indian,Male,2.05,1.92,2.19,age
Mixed,Male,1.55,1.34,1.79,age
Other,Male,1.86,1.71,2.03,age
Pakistani,Male,3.07,2.84,3.31,age
White other,Male,1.14,1.07,1.22,age
Bangladeshi,Female,4.48,3.91,5.13,age
Black African,Female,1.70,1.46,1.98,age
Black Caribbean,Female,1.59,1.44,1.76,age
Chinese,Female,0.86,0.67,1.11,age
Indian,Female,1.60,1.47,1.73,age
Mixed,Female,1.49,1.27,1.75,age
Other,Female,1.65,1.49,1.82,age
Pakistani,Female,2.62,2.37,2.90,age
White other,Female,0.95,0.89,1.02,age
Bangladeshi,Male,2.27,2.01,2.56,mid
Black African,Male,1.55,1.37,1.76,mid
Black Caribbean,Male,1.13,1.03,1.24,mid
Chinese,Male,1.01,0.82,1.25,mid
Indian,Male,1.53,1.43,1.65,mid
Mixed,Male,1.14,0.99,1.33,mid
Other,Male,1.27,1.16,1.39,mid
Pakistani,Male,1.76,1.61,1.91,mid
White other,Male,0.91,0.85,0.97,mid
Bangladeshi,Female,2.14,1.84,2.50,mid
Black African,Female,1.09,0.93,1.28,mid
Black Caribbean,Female,1.04,0.93,1.15,mid
Chinese,Female,1.01,0.78,1.30,mid
Indian,Female,1.30,1.19,1.42,mid
Mixed,Female,1.09,0.93,1.28,mid
Other,Female,1.31,1.18,1.45,mid
Pakistani,Female,1.52,1.35,1.70,mid
White other,Female,0.83,0.78,0.89,mid
Bangladeshi,Male,2.20,1.95,2.47,full
Black African,Male,1.48,1.30,1.67,full
Black Caribbean,Male,1.02,0.93,1.12,full
Chinese,Male,0.96,0.77,1.18,full
Indian,Male,1.54,1.44,1.66,full
Mixed,Male,1.14,0.98,1.32,full
Other,Male,1.23,1.12,1.34,full
Pakistani,Male,1.62,1.49,1.77,full
White other,Male,0.91,0.85,0.97,full
Bangladeshi,Female,2.08,1.78,2.43,full
Black African,Female,1.02,0.87,1.19,full
Black Caribbean,Female,0.92,0.83,1.02,full
Chinese,Female,0.99,0.76,1.28,full
Indian,Female,1.32,1.21,1.45,full
Mixed,Female,1.06,0.90,1.24,full
Other,Female,1.28,1.15,1.42,full
Pakistani,Female,1.41,1.26,1.58,full
White other,Female,0.82,0.77,0.88,full